Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
AUSER INSIEME CASTELLANZA APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CATTANEO,NICOLETTA,I,VA,CASTELLANZA,VIA MONTELLO,APS,"VIA MONTELLO,CASTELLANZA,VA,I",45.611844894466714,8.892856567458871
AUSER INSIEME CENTRO AMICIZIA BRAONE PER L'INVECCHIAMENTO ATTIVO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BONFADINI,ADELE,I,BS,BRAONE,VIA RE,APS,"VIA RE,BRAONE,BS,I",45.98949261028001,10.342421830694258
AUSER INSIEME CENTRO ANZIANI LIBRO APERTO TREZZO SULL'ADDA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BERETTA,BRUNA MARINELLA,I,MI,TREZZO SULL'ADDA,PIAZZA NAZIONALE,APS,"PIAZZA NAZIONALE,TREZZO SULL'ADDA,MI,I",45.607768319704526,9.517418168504394
AUSER INSIEME CENTRO RICREATIVO ANZIANI DI VESCOVATO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAVALIERI,EMANUELA ENRICA,I,CR,VESCOVATO,VIA GEREMIA BONOMELLI,APS,"VIA GEREMIA BONOMELLI,VESCOVATO,CR,I",45.244092781626996,10.10902297489551
AUSER INSIEME CENTRO SIMPATIA BELLINZAGO LOMBARDO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CASSIA,SEBASTIANO,I,MI,BELLINZAGO LOMBARDO,VIA ROMA,APS,"VIA ROMA,BELLINZAGO LOMBARDO,MI,I",45.54145111889861,9.445647136519037
AUSER INSIEME CENTRO SOCIALE 2000 VESTONE APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,AMOLINI,STEFANO,I,BS,VESTONE,VIA FEDERICO PIALORSI,APS,"VIA FEDERICO PIALORSI,VESTONE,BS,I",45.708859835116655,10.403750845932342
AUSER INSIEME CERNUSCO LOMBARDONE APS - ETS,ORGANIZZAZIONI DI VOLONTARIATO,GARGANTINI,GIOVANNI BATTISTA,I,LC,CERNUSCO LOMBARDONE,PIAZZA DELLA VITTORIA,OV,"PIAZZA DELLA VITTORIA,CERNUSCO LOMBARDONE,LC,I",45.69269164730454,9.399620950873768
AUSER INSIEME CINISELLO BALSAMO CENTRO AGGREGAZIONE ANZIANI BAUER APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARANGONI,GIOVANNA,I,MI,CINISELLO BALSAMO,VIA SAINT DENISE,APS,"VIA SAINT DENISE,CINISELLO BALSAMO,MI,I",45.54135575733935,9.222622040873793
AUSER INSIEME CINISELLO BALSAMO CENTRO AGGREGAZIONE ANZIANI COSTA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SONNO,ANNUNZIO,I,MI,CINISELLO BALSAMO,PIAZZA COSTA,APS,"PIAZZA COSTA,CINISELLO BALSAMO,MI,I",45.55593413039676,9.220818382745106
AUSER INSIEME CINISELLO BALSAMO CENTRO AGGREGAZIONE ANZIANI FRIULI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RIGAS,GUGLIELMO,I,MI,CINISELLO BALSAMO,VIALE FRIULI,APS,"VIALE FRIULI,CINISELLO BALSAMO,MI,I",45.550378156824266,9.235079023781413
AUSER INSIEME CIRCOLO MADDALENA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FRIGERI,GIUSEPPE,I,BS,FIESSE,VIA MARTIRI DELLA LIBERTA',APS,"VIA MARTIRI DELLA LIBERTA',FIESSE,BS,I",45.22146530525373,10.358267007919936
AUSER INSIEME CIRCOLO VELA DI VEDANO OLONA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BORRINI,CARLO,I,VA,VEDANO OLONA,VIA DEI MARTIRI,APS,"VIA DEI MARTIRI,VEDANO OLONA,VA,I",45.77632788995405,8.879734200991404
AUSER INSIEME CITTA' DI CREMONA APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TAINO,GIUSEPPE,I,CR,CREMONA,VIA GAETANO TIBALDI,APS,"VIA GAETANO TIBALDI,CREMONA,CR,I",45.13168547051317,10.021212756884825
AUSER INSIEME CORNAREDO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PAGANO,RAFFAELE,I,MI,CORNAREDO,VIA DEI MILLE,APS,"VIA DEI MILLE,CORNAREDO,MI,I",45.4955013749602,9.02876679858633
AUSER INSIEME C.S.A. L.GROSSI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BARBATO,VINCENZO,I,MI,ROZZANO,VIA FRANCHI MAGGI,APS,"VIA FRANCHI MAGGI,ROZZANO,MI,I",45.396366,9.166722
AUSER INSIEME DANZACONOI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRIGATTI,STEFANO,I,MB,VILLASANTA,VIA FRANCESCO FERRUCCI,APS,"VIA FRANCESCO FERRUCCI,VILLASANTA,MB,I",45.61086399652966,9.310352681352965
AUSER INSIEME DEL SEPRIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TAPPARO,PATRIZIA,I,CO,CARBONATE,VIA DON G. ZANCHETTA,APS,"VIA DON G. ZANCHETTA,CARBONATE,CO,I",45.68547052580778,8.939361292722266
AUSER INSIEME DI BAGNOLO CREMASCO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VERDELLI,RENZO,I,CR,BAGNOLO CREMASCO,VIA DE GASPERI,APS,"VIA DE GASPERI,BAGNOLO CREMASCO,CR,I",45.36076298596766,9.615877129978164
AUSER INSIEME DI BONEMERSE APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VARINI,ANNUNCIATA GAETANA,I,CR,BONEMERSE,PIAZZA AZZURRI D'ITALIA,APS,"PIAZZA AZZURRI D'ITALIA,BONEMERSE,CR,I",45.1147037,10.0786111
AUSER INSIEME DI BUSTO ARSIZIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VOLFI,MICHELA,I,VA,BUSTO ARSIZIO,VIA VOLTA,APS,"VIA VOLTA,BUSTO ARSIZIO,VA,I",45.61377267666929,8.84773500719672
AUSER INSIEME DI CARNAGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAZZOCCO,MARILENA,I,VA,CARNAGO,VIA VITTORIO VENETO,APS,"VIA VITTORIO VENETO,CARNAGO,VA,I",45.7255891574843,8.833727323199383
AUSER INSIEME DI FERNO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PELLEGATTI,GIOVANNI,I,VA,FERNO,PIAZZA DANTE ALIGHIERI,APS,"PIAZZA DANTE ALIGHIERI,FERNO,VA,I",45.61314417487919,8.754248386842185
AUSER INSIEME DI GALLARATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CIAMBELLI,GABRIELLA,I,VA,GALLARATE,VIA DEL POPOLO,APS,"VIA DEL POPOLO,GALLARATE,VA,I",45.658532047510526,8.787188583670405
AUSER INSIEME DI GENIVOLTA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TOSCANI,GIUSEPPE,I,CR,GENIVOLTA,VIA CASTELLO,APS,"VIA CASTELLO,GENIVOLTA,CR,I",45.33612753486968,9.877340622237686
AUSER INSIEME DI GIANICO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SAVOLDELLI,ERASMO,I,BS,GIANICO,VIA G. MARCONI,APS,"VIA G. MARCONI,GIANICO,BS,I",45.86511110301972,10.176325350040704
AUSER INSIEME DI GUSSOLA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,REGGI,NADIA,I,CR,GUSSOLA,PIAZZA COMASCHI,APS,"PIAZZA COMASCHI,GUSSOLA,CR,I",45.009390413765516,10.351535086683711
AUSER INSIEME DI ISOLA DOVARESE APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZAMBONI,GIUSEPPE,I,CR,ISOLA DOVARESE,VIA GARIBALDI,APS,"VIA GARIBALDI,ISOLA DOVARESE,CR,I",45.17503025479521,10.30982727780672
AUSER INSIEME DI LOVERE APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MORETTI,TERSILLO,I,BG,LOVERE,MARCONI,APS,"MARCONI,LOVERE,BG,I",45.82045535260607,10.079638128140006
AUSER INSIEME DI MADIGNANO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GIGLIOTTI,CESARE,I,CR,MADIGNANO,VIA SAN FRANCESCO,APS,"VIA SAN FRANCESCO,MADIGNANO,CR,I",45.341480532330785,9.729154928328706
AUSER INSIEME DI MILANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ANTONIOLLI,ANNA MARIA,I,MI,MILANO,CORSO DI PORTA VITTORIA,APS,"CORSO DI PORTA VITTORIA,MILANO,MI,I",45.46235241452827,9.204214936642268
AUSER INSIEME DI PANDINO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,NOLLI,DORETTA,I,CR,PANDINO,VIA PALESTRO,APS,"VIA PALESTRO,PANDINO,CR,I",45.404323670016694,9.553169410200534
AUSER INSIEME DI PARABIAGO APS ETS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LUDOVICO,PASQUALE,I,MI,PARABIAGO,VIA S. ANTONIO,APS,"VIA S. ANTONIO,PARABIAGO,MI,I",45.55744330522679,8.946918910712217
AUSER INSIEME DI PONTERANICA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PERNICENI,CLAUDIA,I,BG,PONTERANICA,VIA VALBONA,APS,"VIA VALBONA,PONTERANICA,BG,I",45.727321486625954,9.655313590167523
AUSER INSIEME DI PRESEGLIE APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GUERRA,DANILA,I,BS,PRESEGLIE,VIA ROMA,APS,"VIA ROMA,PRESEGLIE,BS,I",45.66814178104038,10.39749765062395
AUSER INSIEME DI RESCALDINA APS ETS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VIARO,LUCIANO,I,MI,RESCALDINA,VIA GRAMSCI,APS,"VIA GRAMSCI,RESCALDINA,MI,I",45.61526319398942,8.954591378040622
AUSER INSIEME DI ROMANENGO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GUERCILENA,GIANFRANCO,I,CR,ROMANENGO,VIA FRATELLI DE BRAZZI,APS,"VIA FRATELLI DE BRAZZI,ROMANENGO,CR,I",45.37917430037002,9.786166564142931
AUSER INSIEME DI ROVATO-UNIVERSITA' DELLA LIBERETA' APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VENNI,MICHELE,I,BS,ROVATO,VIA SPALENZA,APS,"VIA SPALENZA,ROVATO,BS,I",45.564127040841356,10.002010541855038
AUSER INSIEME DI SESTO ED UNITI APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRAGANTI,MARIA CATERINA,I,CR,SESTO ED UNITI,VIA ROMA,APS,"VIA ROMA,SESTO ED UNITI,CR,I",45.176246134813496,9.91538223829434
AUSER INSIEME DI STAGNO LOMBARDO APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CERUTI,ELISA,I,CR,STAGNO LOMBARDO,PIAZZA ROMA,APS,"PIAZZA ROMA,STAGNO LOMBARDO,CR,I",45.07304315899404,10.087797620269795
AUSER INSIEME DI TORRICELLA DEL PIZZO APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANTOVANI,GUGLIELMO,I,CR,TORRICELLA DEL PIZZO,VIA PO MORTO,APS,"VIA PO MORTO,TORRICELLA DEL PIZZO,CR,I",45.021438903420346,10.294673447239767
AUSER INSIEME DI TRESCORE CREMASCO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DI GIUSEPPE,ROSELLA,I,CR,TRESCORE CREMASCO,VIA MARCONI,APS,"VIA MARCONI,TRESCORE CREMASCO,CR,I",45.40421986696004,9.62190508320039
AUSER INSIEME DI VAIANO CREMASCO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CERRATO,DARIO,I,CR,VAIANO CREMASCO,VIA ASILO,APS,"VIA ASILO,VAIANO CREMASCO,CR,I",45.3738667,9.5903982
AUSER INSIEME DI VAIANO CREMASCO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DEGLI AGOSTI,GIUSEPPE,I,CR,VAIANO CREMASCO,VIA ASILO,APS,"VIA ASILO,VAIANO CREMASCO,CR,I",45.3738667,9.5903982
AUSER INSIEME DI VARANO BORGHI MUTUO SOCCORSO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TERZOLI,LUIGI,I,VA,VARANO BORGHI,VIA TRENTO,APS,"VIA TRENTO,VARANO BORGHI,VA,I",45.774182558215614,8.70563863589097
AUSER INSIEME DI VIGEVANO APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CIRILLO,SALVATORE,I,PV,VIGEVANO,CORSO GENOVA,APS,"CORSO GENOVA,VIGEVANO,PV,I",45.29028608611089,8.85374715198775
AUSER INSIEME DI VIMODRONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FUSAR BASSINI,MARGHERITA,I,MI,VIMODRONE,VIA ROMA,APS,"VIA ROMA,VIMODRONE,MI,I",45.512476527106614,9.282247882599648
AUSER INSIEME DI VOLONGO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FERRARI,AGNESE,I,CR,VOLONGO,VIA ROSA E CAROLINA AGAZZI,APS,"VIA ROSA E CAROLINA AGAZZI,VOLONGO,CR,I",45.21157743712342,10.301765012017656
AUSER INSIEME FIL-MAR APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PASQUINI,PIERANGELO,I,BG,FILAGO,VIA ANTONIO LOCATELLI,APS,"VIA ANTONIO LOCATELLI,FILAGO,BG,I",45.63611863296899,9.554311575651715
AUSER INSIEME GRUPPO TEATRO ESPERIENZA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MILZANI,MAURIZIO,I,BS,CORTE FRANCA,VIA MANCAPANE F.NE BORGONATO,APS,"VIA MANCAPANE F.NE BORGONATO,CORTE FRANCA,BS,I",45.618729032607035,10.019913362731549
AUSER INSIEME IMPEGNO CULTURA E SPORT FIESSE APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARCOLINI,PIERLUIGI,I,BS,FIESSE,VIA ROBERTO REMONDI,APS,"VIA ROBERTO REMONDI,FIESSE,BS,I",45.233696445851145,10.318927189961459
AUSER INSIEME INCONTRI BOLLATE - APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MINORA,GIUSEPPINA MARTA,I,MI,BOLLATE,VIA GARIBALDI,APS,"VIA GARIBALDI,BOLLATE,MI,I",45.54619803774487,9.117585249424941
AUSER INSIEME ISEO APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZUGNI,MARIO,I,BS,ISEO,VIA ROMA,APS,"VIA ROMA,ISEO,BS,I",45.65234952428667,10.048817025612905
AUSER INSIEME LA CHIOCCIOLA DI RIVOLTA D'ADDA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAVALLERI,LORENA MARIA,I,CR,RIVOLTA D'ADDA,VIA STEFANO RENZI,APS,"VIA STEFANO RENZI,RIVOLTA D'ADDA,CR,I",45.470399579227305,9.51380052482114
AUSER INSIEME LOMAZZO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PORCELLI,MAURO,I,CO,LOMAZZO,PIAZZA VOLTA,APS,"PIAZZA VOLTA,LOMAZZO,CO,I",45.6969822817344,9.040350447795182
AUSER INSIEME LUIGI MAFFEZZONI DI PESCAROLO ED UNITI APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BECCHI,IVAN,I,CR,PESCAROLO ED UNITI,PIAZZA GARIBALDI,APS,"PIAZZA GARIBALDI,PESCAROLO ED UNITI,CR,I",45.1955949074996,10.186275890924993
AUSER INSIEME MONTE MARENZO APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAGNI,CARLA GIUSEPPINA,I,LC,MONTE MARENZO,VIA PAPA GIOVANNI XXIII,APS,"VIA PAPA GIOVANNI XXIII,MONTE MARENZO,LC,I",45.77634373049332,9.452108330634854
AUSER INSIEME NOTER DE GABIA DI CASTELGABBIANO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CANTU',GIOVANNA,I,CR,CASTEL GABBIANO,VIA AIMO DA GABBIANO 3/5,APS,"VIA AIMO DA GABBIANO 3/5,CASTEL GABBIANO,CR,I",45.4693358044463,9.717055526430272
AUSER INSIEME OLGINATE APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,REDAELLI,LUCIANO,I,LC,OLGINATE,PIAZZA ROMA,APS,"PIAZZA ROMA,OLGINATE,LC,I",45.80152194285836,9.412015857832515
AUSER INSIEME OLTREMELLA DI BRESCIA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PEDRONI,MAURO,I,BS,BRESCIA,VIA CADUTI DEL LAVORO,APS,"VIA CADUTI DEL LAVORO,BRESCIA,BS,I",45.553005265754464,10.18823785099647
AUSER INSIEME OME APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CIMASCHI,ELENA,I,BS,OME,PIAZZA ALDO MORO,APS,"PIAZZA ALDO MORO,OME,BS,I",45.62413964449621,10.12413040740607
AUSER INSIEME PENSIONATI E VOLONTARI DI POZZOLENGO APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ASCHEDAMINI,GIANCARLO,I,BS,POZZOLENGO,VIA VERDI,APS,"VIA VERDI,POZZOLENGO,BS,I",45.401975489969985,10.629064487856523
AUSER INSIEME PESCHIERA BORROMEO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BORON,PIERO DOMENICO LUIGI,I,MI,PESCHIERA BORROMEO,PIAZZA PAOLO VI,APS,"PIAZZA PAOLO VI,PESCHIERA BORROMEO,MI,I",45.43064917810268,9.3159815719874
AUSER INSIEME PIOLTELLO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MONACHETTI,GIUSEPPINA,I,MI,PIOLTELLO,VIA MILANO,APS,"VIA MILANO,PIOLTELLO,MI,I",45.50184031282374,9.334378327756204
AUSER INSIEME SAN ROCCO APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PAGANI,GIUSEPPE,I,MB,MONZA,VIA GABRIELE D'ANNUNZIO,APS,"VIA GABRIELE D'ANNUNZIO,MONZA,MB,I",45.565203935358774,9.265333092272972
AUSER INSIEME SENZA ETA' ODV,ORGANIZZAZIONI DI VOLONTARIATO,VEZZOLO,DANIELA LUCIA,I,CO,DONGO,VIA ANTICA REGINA,OV,"VIA ANTICA REGINA,DONGO,CO,I",46.133529806719054,9.281338133681777
AUSER  INSIEME TERRITORIALE DELLA PROVINCIA DI LODI - APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ADONNINO,PAOLA ANGELA,I,LO,LODI,VIA CAVOUR,APS,"VIA CAVOUR,LODI,LO,I",45.314426714133226,9.50513927847029
AUSER INSIEME TREZZANO S/N APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,UTTONE,ANTONINO,I,MI,TREZZANO SUL NAVIGLIO,VIA MANZONI,APS,"VIA MANZONI,TREZZANO SUL NAVIGLIO,MI,I",45.42663069804212,9.06136810415078
AUSER INSIEME T.U. PROGETTO ESSERE APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,POZZI,IVANA,I,LC,LECCO,CORSO MONTE SANTO,APS,"CORSO MONTE SANTO,LECCO,LC,I",45.86820106770928,9.403823270295998
AUSER INSIEME TURBIGO APS ETS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DELLAVALLE,RENZO,I,MI,TURBIGO,VIA ROMA,APS,"VIA ROMA,TURBIGO,MI,I",45.526326101993924,8.730538565750905
AUSER INSIEME UNIVERSITA' DELLA LIBERETA' APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GOGLIONE,GIOVANNA,I,BS,ERBUSCO,VIA CROCEFISSO,APS,"VIA CROCEFISSO,ERBUSCO,BS,I",45.58808190253572,9.988228540534232
AUSER INSIEME UNIVERSITA' POPOLARE DELLE LIBERETA' SCUOLA DI PACE DI CREMONA APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TOSCANI,GIORGIO,I,CR,CREMONA,VIA BRESCIA,APS,"VIA BRESCIA,CREMONA,CR,I",45.1749848645064,10.043856794966317
AUSER INSIEME VALCUVIA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BANCHIO,ALDO,I,VA,BRENTA,VIA VALCUVIA,APS,"VIA VALCUVIA,BRENTA,VA,I",45.89321814371308,8.687702903477076
AUSER INSIEME VILLA LABUS LASCITO BALDUZZI APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TONOLI,PAOLINA,I,BS,BOTTICINO,VIA CAVE,APS,"VIA CAVE,BOTTICINO,BS,I",45.54779473368263,10.314352440794888
AUSER INSIEME VOLONTARIATO BICOCCA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PONTONI,MONICA,I,MI,MILANO,VIA DEI TRANSITI,APS,"VIA DEI TRANSITI,MILANO,MI,I",45.49078426845129,9.220027399419513
AUSER INSIEME VOLONTARIATO CESATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SBRIGLIONE,LUIGI,I,MI,CESATE,VIA DONIZETTI,APS,"VIA DONIZETTI,CESATE,MI,I",45.59959407274099,9.076059518883936
AUSER INSIEME VOLONTARIATO CIRCOLO ANZIANI SEMPRE VERDI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RIZZA,SALVATORE,I,MI,ROZZANO,VIA MONTE BIANCO,APS,"VIA MONTE BIANCO,ROZZANO,MI,I",45.397416709612045,9.15411516620285
AUSER INSIEME VOLONTARIATO COLOGNO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LEACI,GIACOMO COSTANTINO,I,MI,COLOGNO MONZESE,VIA GALILEO GALILEI,APS,"VIA GALILEO GALILEI,COLOGNO MONZESE,MI,I",45.53209935460484,9.276432980423953
AUSER INSIEME VOLONTARIATO CORSICO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CONSOLINI,OLIVIA,I,MI,CORSICO,VIA G. FALCONE,APS,"VIA G. FALCONE,CORSICO,MI,I",45.43486535336582,9.11424987908184
AUSER INSIEME VOLONTARIATO DI CINISELLO BALSAMO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BARTOLOMEO,PATRIZIA,I,MI,CINISELLO BALSAMO,VIA MONTELLO,APS,"VIA MONTELLO,CINISELLO BALSAMO,MI,I",45.55751517765156,9.207964973363882
AUSER INSIEME VOLONTARIATO DI NOVATE MILANESE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PLUMARI,GIUSEPPE,I,MI,NOVATE MILANESE,VIA REPUBBLICA,APS,"VIA REPUBBLICA,NOVATE MILANESE,MI,I",45.54155921134828,9.105987742388963
AUSER INSIEME VOLONTARIATO DI PERO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TOPPI,ANTONIO,I,MI,PERO,VIA CURIEL,APS,"VIA CURIEL,PERO,MI,I",45.510255437261,9.084834051626158
AUSER INSIEME VOLONTARIATO DI RHO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ROMANI,ROMOLO,I,MI,RHO,VIA DANTE,APS,"VIA DANTE,RHO,MI,I",45.52769953285661,9.044498080733392
AUSER INSIEME VOLONTARIATO DI SESTO S. GIOVANNI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VILLA,MARCELLO,I,MI,SESTO SAN GIOVANNI,VIA DEI GIARDINI,APS,"VIA DEI GIARDINI,SESTO SAN GIOVANNI,MI,I",45.5337971819096,9.23549653558248
AUSER INSIEME VOLONTARIATO DON PIERINO BOTTAZZOLI PONTE SESTO ROZZANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LITTO,PIETRO SALVATORE,I,MI,ROZZANO,VIA LEOPARDI,APS,"VIA LEOPARDI,ROZZANO,MI,I",45.380063695078746,9.174603060434848
AUSER INSIEME VOLONTARIATO MELEGNANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,REBUGHINI,GABRIELLA,I,MI,MELEGNANO,PIAZZA DELLA VITTORIA,APS,"PIAZZA DELLA VITTORIA,MELEGNANO,MI,I",45.35583873761624,9.324891171103758
AUSER INSIEME VOLONTARIATO ODV ETS,ORGANIZZAZIONI DI VOLONTARIATO,BERNASCONI,MARIO,I,LO,MALEO,VIA DANTE,OV,"VIA DANTE,MALEO,LO,I",45.16638067778249,9.764111460647634
AUSER INSIEME VOLONTARIATO TRE CASTELLI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FONTI,ANNUNZIATA,I,MI,MILANO,VIA MARTINELLI,APS,"VIA MARTINELLI,MILANO,MI,I",45.44044238629882,9.132159650495954
AUSER I PLATANI ODV ETS,ORGANIZZAZIONI DI VOLONTARIATO,RAZZA,GIACOMO,I,PV,LANDRIANO,VIA SAN VITTORE,OV,"VIA SAN VITTORE,LANDRIANO,PV,I",45.31002606279684,9.2600452477392
AUSER I SEMPRE GIOVANI GIUSSAGO ODV ETS,ORGANIZZAZIONI DI VOLONTARIATO,CASSINELLI,MONICA,I,PV,GIUSSAGO,PIAZZA CESARINO SACCHI,OV,"PIAZZA CESARINO SACCHI,GIUSSAGO,PV,I",45.28373707541016,9.142579126310965
AUSER LAGO DI ENDINE APS - ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GOTTINI,CLAUDIO,I,BG,CASAZZA,VIA NAZIONALE,APS,"VIA NAZIONALE,CASAZZA,BG,I",45.746780362709394,9.908389942504442
AUSER LA NUOVA ETA' ODV,ORGANIZZAZIONI DI VOLONTARIATO,PINA,VLADIMIRO,I,CO,OLGIATE COMASCO,VIA LUCINI,OV,"VIA LUCINI,OLGIATE COMASCO,CO,I",45.78620790049353,8.969144402295639
AUSER LA SERENELLA APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MISTRETTA,TOMMASO,I,PV,GARLASCO,VIA ELEONORA DUSE,APS,"VIA ELEONORA DUSE,GARLASCO,PV,I",45.19753463448364,8.924832594851777
AUSER LE FILANDE APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BIANCHI,ROBERTO,I,PV,CHIGNOLO PO,VIA XXV APRILE,APS,"VIA XXV APRILE,CHIGNOLO PO,PV,I",45.150489061000584,9.484174124949135
AUSER LE QUERCE CAVA MANARA APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MALLARDI,NICOLA,I,PV,CAVA MANARA,VIA CONTI,APS,"VIA CONTI,CAVA MANARA,PV,I",45.140338822567045,9.108318551885956
AUSER LEUCUM ODV -ETS,ORGANIZZAZIONI DI VOLONTARIATO,DOSSI,CLAUDIO,I,LC,LECCO,CORSO MONTE SANTO,OV,"CORSO MONTE SANTO,LECCO,LC,I",45.86820106770928,9.403823270295998
AUSER LILIUM VELLEZZO BELLINI ODV ETS,ORGANIZZAZIONI DI VOLONTARIATO,QUINTI,DANIELA,I,PV,VELLEZZO BELLINI,VIA PAVIA,OV,"VIA PAVIA,VELLEZZO BELLINI,PV,I",45.27497823374078,9.118834315076748
AUSER LODIGIANO - ODV  ETS,ORGANIZZAZIONI DI VOLONTARIATO,ESPOSITO,MARIA,I,LO,LODI,VIA CAVOUR,OV,"VIA CAVOUR,LODI,LO,I",45.314426714133226,9.50513927847029
