Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CENATE SOPRA,ALTRI ENTI DEL TERZO SETTORE,COLLEONI,CLAUDIA,I,BG,CENATE SOPRA,CORSO EUROPA,AE,"CORSO EUROPA,CENATE SOPRA,BG,I",45.71104981333101,9.824228518420133
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CENATE SOTTO,ALTRI ENTI DEL TERZO SETTORE,ALGERI,THOMAS,I,BG,CENATE SOTTO,VIA F. LUSSANA,AE,"VIA F. LUSSANA,CENATE SOTTO,BG,I",45.69640321059581,9.822949248630371
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CIGOGNOLA,ALTRI ENTI DEL TERZO SETTORE,ORIOLI,GIANLUCA,I,PV,CIGOGNOLA,PIAZZA CASTELLO,AE,"PIAZZA CASTELLO,CIGOGNOLA,PV,I",45.0341029259948,9.244243072067848
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CISLAGO,ALTRI ENTI DEL TERZO SETTORE,CALEGARI,STEFANO,I,VA,CISLAGO,PIAZZA ENRICO TOTI,AE,"PIAZZA ENRICO TOTI,CISLAGO,VA,I",45.65977710643907,8.971553956353924
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CITTIGLIO ,ALTRI ENTI DEL TERZO SETTORE,MAGNANI,ROSSELLA,I,VA,CITTIGLIO,VIA PROVINCIALE,AE,"VIA PROVINCIALE,CITTIGLIO,VA,I",45.89029833927676,8.670149131062024
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COCQUIO TREVISAGO,ALTRI ENTI DEL TERZO SETTORE,CENTRELLA,DANILO,I,VA,COCQUIO-TREVISAGO,VIA ROMA,AE,"VIA ROMA,COCQUIO-TREVISAGO,VA,I",45.8613736217434,8.691246612686639
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CODOGNO ETS,ALTRI ENTI DEL TERZO SETTORE,PASSERINI,FRANCESCO,I,LO,CODOGNO,VIA VITTORIO EMANUELE II,AE,"VIA VITTORIO EMANUELE II,CODOGNO,LO,I",45.16208591601755,9.701934955892222
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COLICO,ALTRI ENTI DEL TERZO SETTORE,GILARDI,MONICA,I,LC,COLICO,P.ZZA V ALPINI,AE,"P.ZZA V ALPINI,COLICO,LC,I",46.135636,9.371293
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COLOGNO AL SERIO,ALTRI ENTI DEL TERZO SETTORE,DRAGO,CHIARA,I,BG,COLOGNO AL SERIO,VIA ROCCA,AE,"VIA ROCCA,COLOGNO AL SERIO,BG,I",45.58049083023252,9.70660933025301
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COLOGNO MONZESE,ALTRI ENTI DEL TERZO SETTORE,ZANELLI,STEFANO,I,MI,COLOGNO MONZESE,VIA MAZZINI,AE,"VIA MAZZINI,COLOGNO MONZESE,MI,I",45.52987035520401,9.276541985047038
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COMABBIO,ALTRI ENTI DEL TERZO SETTORE,DEPLANO,MARIOLINO,I,VA,COMABBIO,PZZA MARCONI,AE,"PZZA MARCONI,COMABBIO,VA,I",45.77237955330516,8.674678778590021
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COMUN NUOVO,ALTRI ENTI DEL TERZO SETTORE,ROSSONI,IVAN,I,BG,COMUN NUOVO,PIAZZA DE GASPERI,AE,"PIAZZA DE GASPERI,COMUN NUOVO,BG,I",45.62276858872049,9.663645215279525
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CONCESIO,ALTRI ENTI DEL TERZO SETTORE,DAMIOLINI,AGOSTINO,I,BS,CONCESIO,P.ZZA PAOLO VI,AE,"P.ZZA PAOLO VI,CONCESIO,BS,I",45.60645048165071,10.215853656654485
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI COPIANO ETS,ALTRI ENTI DEL TERZO SETTORE,ITRALONI,ANDREA,I,PV,COPIANO,PIAZZA MUNICIPIO,AE,"PIAZZA MUNICIPIO,COPIANO,PV,I",45.19566356096577,9.322170715161057
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CORNO GIOVINE ETS,ALTRI ENTI DEL TERZO SETTORE,TANSINI,GIANPIERO,I,LO,CORNO GIOVINE,PIAZZA CADUTI,AE,"PIAZZA CADUTI,CORNO GIOVINE,LO,I",45.13220914896891,9.759341575913167
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CORSICO,ALTRI ENTI DEL TERZO SETTORE,VENTURA,STEFANO MARTINO,I,MI,CORSICO,VIA ROMA,AE,"VIA ROMA,CORSICO,MI,I",45.431547449376545,9.107915625265141
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CORTENOVA,ALTRI ENTI DEL TERZO SETTORE,GALPERTI,SERGIO,I,LC,CORTENOVA,PIAZZA UMBERTO I,AE,"PIAZZA UMBERTO I,CORTENOVA,LC,I",45.999616848276986,9.384088246143987
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CRESPIATICA ETS,ALTRI ENTI DEL TERZO SETTORE,RIZZI,Carlo Alberto Francesco,I,LO,CRESPIATICA,VIA ROMA,AE,"VIA ROMA,CRESPIATICA,LO,I",45.355829688546905,9.574833537502151
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CROSIO DELLA VALLE,ALTRI ENTI DEL TERZO SETTORE,BORTOLUSSI,MARCO,I,VA,CROSIO DELLA VALLE,VIA IV NOVEMBRE,AE,"VIA IV NOVEMBRE,CROSIO DELLA VALLE,VA,I",45.75887570690463,8.772760615287716
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CUASSO AL MONTE,ALTRI ENTI DEL TERZO SETTORE,BONORA,LOREDANA,I,VA,CUASSO AL MONTE,VIA ROMA,AE,"VIA ROMA,CUASSO AL MONTE,VA,I",45.91607918442757,8.879745471279714
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CUGLIATE FABIASCO,ALTRI ENTI DEL TERZO SETTORE,FILIPPINI,ANGELO,I,VA,CUGLIATE-FABIASCO,PIAZZA ANDREANI,AE,"PIAZZA ANDREANI,CUGLIATE-FABIASCO,VA,I",45.9475097682189,8.821445296236472
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CUSAGO,ALTRI ENTI DEL TERZO SETTORE,TRIULZI,GIOVANNI LUCIANO,I,MI,CUSAGO,PIAZZA SONCINO,AE,"PIAZZA SONCINO,CUSAGO,MI,I",45.44583740628917,9.03339961560687
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI DAVERIO,ALTRI ENTI DEL TERZO SETTORE,COLOMBO,MARCO,I,VA,DAVERIO,VIALE ROMA,AE,"VIALE ROMA,DAVERIO,VA,I",45.77377299898904,8.77114410493685
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI DERVIO,ALTRI ENTI DEL TERZO SETTORE,CASSINELLI,STEFANO,I,LC,DERVIO,P.ZZA IV NOVEMBRE,AE,"P.ZZA IV NOVEMBRE,DERVIO,LC,I",46.07640849450858,9.307024312398628
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI DORNO,ALTRI ENTI DEL TERZO SETTORE,PEROTTI,FRANCESCO MARIA,I,PV,DORNO,PIAZZA G. BONACOSSA,AE,"PIAZZA G. BONACOSSA,DORNO,PV,I",45.15433802406485,8.950877734206134
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI DUBINO,ALTRI ENTI DEL TERZO SETTORE,NONINI,EMANUELE,I,SO,DUBINO,VIA VALERIANA,AE,"VIA VALERIANA,DUBINO,SO,I",46.15265622169445,9.459708600460521
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI ELLO,ALTRI ENTI DEL TERZO SETTORE,PIROVANO,ELENA,I,LC,ELLO,VIA M. DE VECCHI,AE,"VIA M. DE VECCHI,ELLO,LC,I",45.787910331033906,9.365114345742109
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FAGNANO OLONA,ALTRI ENTI DEL TERZO SETTORE,BAROFFIO,MARCO,I,VA,FAGNANO OLONA,PIAZZA CAVOUR,AE,"PIAZZA CAVOUR,FAGNANO OLONA,VA,I",45.66916285806837,8.874115168464638
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FARA GERA D'ADDA,ALTRI ENTI DEL TERZO SETTORE,ASSANELLI,RAFFAELE,I,BG,FARA GERA D'ADDA,P.ZZA ROMA,AE,"P.ZZA ROMA,FARA GERA D'ADDA,BG,I",45.55333410415487,9.531731563402204
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FERERRA DI VARESE,ALTRI ENTI DEL TERZO SETTORE,SALARDI,MARINA,I,VA,FERRERA DI VARESE,VIA GARIBALDI,AE,"VIA GARIBALDI,FERRERA DI VARESE,VA,I",45.93186691448637,8.790368550020453
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FERNO,ALTRI ENTI DEL TERZO SETTORE,FOTI,SARAH,I,VA,FERNO,VIA ALDO MORO,AE,"VIA ALDO MORO,FERNO,VA,I",45.611542491030015,8.758316579123653
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FOMBIO ETS,ALTRI ENTI DEL TERZO SETTORE,PASSERINI,DAVIDE,I,LO,FOMBIO,VIA ROMA,AE,"VIA ROMA,FOMBIO,LO,I",45.13361059232134,9.684386584878556
